supplier,supplier_country,supplier_type,customer,customer_country,customer_type,product_service,category,criticality,share_pct,price_correlation_3m,is_sole_source,data_source
Commvault Systems,US,other,Sap,IN,colocation_provider,IT Infrastructure Software,other,,,,false,company-disclosure-rederived
Technip Energies,FR,other,Reliance Industries,IN,other,Infrastructure Construction/Contracting Services,construction,,,,false,company-disclosure-rederived
Commvault Systems,US,other,Alibaba,,other,IT Infrastructure Software,other,,,,false,company-disclosure-rederived
Commvault Systems,US,other,"MongoDB, Inc.",US,other,IT Infrastructure Software,other,,,,false,company-disclosure-rederived
Comcast,US,colocation_provider,Snowflake,,other,Wireline Services,other,,,,false,company-disclosure-rederived
SES,LU,other,Reliance Industries,IN,other,International Satellite Services,other,,,,false,sec-edgar-rederived
Equifax (Media and Information Services),US,other,Snowflake,,other,Administrative Services,other,,,,false,company-disclosure-rederived
CAPITAL ONE FINANCIAL CORP,,other,Snowflake,,other,Consumer Finance Services,other,,,,false,company-disclosure-rederived
"MongoDB, Inc.",US,other,Infosys,IN,other,Information Technology Consulting,other,,,,false,sec-edgar-rederived
"MongoDB, Inc.",US,other,Tata Consultancy Services,IN,other,Information Technology Consulting,other,,,,false,sec-edgar-rederived
Snowflake,,other,IQVIA,US,other,Contract Research Organizations,other,,,,false,company-disclosure-rederived
Snowflake,,other,Sap,IN,colocation_provider,Enterprise Management Software,other,,,,false,company-disclosure-rederived
Snowflake,,other,NVIDIA,US,chip_designer,Enterprise Management Software,other,,,,false,company-disclosure-rederived
C3.ai A,US,epc,Snowflake,,other,Design and Engineering Software,software_ip,,,,false,company-disclosure-rederived
Qualys,US,other,Tata Communications,IN,colocation_provider,IT Infrastructure Software,other,,,,false,company-disclosure-rederived
Barclays,,colocation_provider,NVIDIA,US,chip_designer,Investment Banking and Corporate Finance,other,,,,false,sec-edgar-rederived
Tech Mahindra,IN,other,PT Indosat Tbk,ID,ai_lab,Information Technology Consulting,other,,,,false,company-disclosure-rederived
TSMC,TW,fab_operator,Alphabet,US,equipment_maker,Foundry manufacturing of TPU v6e (Trillium) on TSMC N5,foundry_services,10,,,true,ds-enrichment-session-3b5
TSMC,TW,fab_operator,Alphabet,US,equipment_maker,CoWoS advanced packaging for TPU v5p/v6e with HBM stacks,advanced_packaging,9,,,true,ds-enrichment-session-3b5
Broadcom Inc.,US,chip_designer,Alphabet,US,equipment_maker,"ASIC co-design, SerDes IP, GDS tape-out for all TPU generations",software_ip,9,,,false,ds-enrichment-session-3b5
KINX Inc.,,colocation_provider,Alibaba,,other,Internet Hosting Services,other,,,,false,company-disclosure-rederived
Nokia,FI,equipment_maker,"Super Micro Computer, Inc.",US,other,Other Communications Equipment,networking,,,,false,company-disclosure-rederived
A10 Networks,US,equipment_maker,Microsoft Corporation,US,cloud_provider,Wide Area Networking Equipment supply,networking,3,,-0.823583,false,company-disclosure-rederived
AAEON Tech,TW,other,NVIDIA,US,chip_designer,Hardware Components partnership,other,2,,-0.146941,false,company-disclosure-rederived
ASML,NL,equipment_maker,TSMC,TW,fab_operator,EUV lithography systems for N5 patterning,semiconductor_equipment,10,100,,true,scrutica-chip-deployment-chains
"Acacia Communications, Inc.",US,other,Cisco,US,other,Optoelectronics Electronic Components supply,other,3,,,false,sec-edgar-rederived
Xintec,TW,chip_designer,TSMC,TW,fab_operator,Semiconductor Manufacturing Services supply,foundry_services,8,,0.6389335,false,company-disclosure-rederived
NVIDIA,US,chip_designer,Oracle Corporation,US,chip_designer,NVIDIA H100 SXM5 80GB GPU accelerators for OCI Supercluster,gpu_accelerator,10,100,,true,scrutica-chip-deployment-chains
SK Hynix,KR,fab_operator,NVIDIA,US,chip_designer,HBM3e high-bandwidth memory for H200 SXM (141GB per Epoch ML Hardware),memory,9,,,false,scrutica-chip-deployment-chains
TSMC,TW,fab_operator,NVIDIA,US,chip_designer,CoWoS-S advanced packaging for H200 SXM (larger interposer than H100 to accommodate 141GB HBM3e),advanced_packaging,10,100,,true,scrutica-chip-deployment-chains
SoundHound AI,US,other,NVIDIA,US,chip_designer,Home and Office Software,other,,,,false,company-disclosure-rederived
Automattic,US,other,"Cloudflare, Inc.",US,other,Information Technology Services,other,,,,false,company-disclosure-rederived
IQVIA,US,other,Snowflake,,other,Contract Research Organizations,other,,,,false,company-disclosure-rederived
IQVIA,US,other,NVIDIA,US,chip_designer,Contract Research Organizations,other,,,,false,company-disclosure-rederived
Adlink Technology,TW,other,NVIDIA,US,chip_designer,General Computer Hardware partnership,other,2,,0.483316,false,company-disclosure-rederived
Treasure Data,US,other,"MongoDB, Inc.",US,other,Packaged Software,other,,,,false,company-disclosure-rederived
Hewlett Packard Ent /US,US,other,NVIDIA,US,chip_designer,Computer Systems,other,,,,false,sec-edgar-rederived
Yubico,SE,equipment_maker,"Cloudflare, Inc.",US,other,Electronic Security Equipment,other,,,,false,company-disclosure-rederived
Astera Labs,US,chip_designer,NVIDIA,US,chip_designer,Specialized Semiconductors,gpu_accelerator,,,,false,company-disclosure-rederived
Lockheed Martin,US,other,NVIDIA,US,chip_designer,Defense Manufacturing,other,,,,false,company-disclosure-rederived
Rambus,US,equipment_maker,NVIDIA,US,chip_designer,Design and Engineering Software,software_ip,,,,false,company-disclosure-rederived
Beamr Imaging,IL,epc,NVIDIA,US,chip_designer,Design and Engineering Software,software_ip,,,,false,sec-edgar-rederived
EverFocus Electronics,TW,equipment_maker,NVIDIA,US,chip_designer,Electronic Security Equipment,other,,,,false,company-disclosure-rederived
Astera Labs,US,chip_designer,Micron,US,fab_operator,General Semiconductors partnership,other,3,,-0.526778,false,company-disclosure-rederived
Backblaze A,US,colocation_provider,CoreWeave,US,cloud_provider,Internet Hosting Services partnership,other,3,,0.221252,false,company-disclosure-rederived
IFLYTEK,CN,other,Iflytek Research,,other,"BIS Entity List match: Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR.",other,,,,false,scrutica-bis-crossref
TSMC,TW,fab_operator,Alphabet,US,equipment_maker,Foundry manufacturing of TPU v4 silicon (process node unverified),foundry_services,10,,,true,ds-enrichment-session-3b5
TSMC,TW,fab_operator,Alphabet,US,equipment_maker,Foundry manufacturing of TPU v5e silicon (process node unverified),foundry_services,10,,,true,ds-enrichment-session-3b5
Alviva Holdings Ltd.,ZA,other,Dell Technologies,US,other,IT Hardware Distributors supply,other,4,,,false,company-disclosure-rederived
ServiceNow,US,other,NVIDIA,US,chip_designer,Enterprise Management Software,other,,,,false,company-disclosure-rederived
DigitalOcean,US,colocation_provider,NVIDIA,US,chip_designer,Internet Hosting Services,other,,,,false,sec-edgar-rederived
KEMET Corp.,US,other,Alphabet,US,equipment_maker,Passive Electronic Components supply,raw_materials,3,,,false,sec-edgar-rederived
"Shenzhen Naura Microelectronics Equipment Co., Ltd.",CN,other,NAURA,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Gudeng Equipment,TW,chip_designer,TSMC,TW,fab_operator,Semiconductor Manufacturing Capital Equipment supply,semiconductor_equipment,3,,-0.0436405,false,company-disclosure-rederived
T-MOBILE US INC,,other,NVIDIA,US,chip_designer,Wireless Services,other,,,,false,company-disclosure-rederived
"Super Micro Computer, Inc.",US,other,Lambda Technologies,,other,Packaged Software,other,,,,false,sec-edgar-rederived
"Cambricon (Hong Kong) Co., Ltd.",CN,other,Cambricon,CN,equipment_maker,BIS Entity List match: Presumption for denial,other,,,,false,scrutica-bis-crossref
Huawei Technologies R&D UK,GB,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Super Micro Computer, Inc.",US,other,Nutanix,US,other,IT Infrastructure Software,other,,,,false,sec-edgar-rederived
SK Hynix,KR,fab_operator,NVIDIA,US,chip_designer,HBM3 high-bandwidth memory,memory,9,,,false,scrutica-chip-deployment-chains
Arbe Robotics,IL,other,GlobalFoundries,US,equipment_maker,Consumer Vehicle Parts Manufacturing partnership,other,2,,-0.265747,false,sec-edgar-rederived
Arbe Robotics,IL,other,NVIDIA,US,chip_designer,Consumer Vehicle Parts Manufacturing partnership,other,2,,0.569496,false,sec-edgar-rederived
NVIDIA,US,chip_designer,"Meta Platforms, Inc.",US,chip_designer,"NVIDIA H100 SXM5 80GB GPU accelerators — 100,000 unit deployment",gpu_accelerator,10,100,,true,scrutica-chip-deployment-chains
ARM,GB,chip_designer,Synopsys,US,equipment_maker,Processor Semiconductors partnership,gpu_accelerator,2,,-0.632767,false,company-disclosure-rederived
TSMC,TW,fab_operator,NVIDIA,US,chip_designer,Foundry services — GA100 die at N7 (7nm) process node,foundry_services,9,100,,true,scrutica-chip-deployment-chains
Calnex Solutions,GB,equipment_maker,NVIDIA,US,chip_designer,Test and Measurement Equipment,semiconductor_equipment,,,,false,company-disclosure-rederived
ASE Technology Holding,TW,fab_operator,TSMC,TW,fab_operator,Semiconductor Manufacturing Services procurement,foundry_services,8,,0.871437,false,sec-edgar-rederived
ASE Technology Holding,TW,fab_operator,Infineon Technologies,DE,chip_designer,Semiconductor Manufacturing Services partnership,foundry_services,2,,0.5061585,false,sec-edgar-rederived
Himax Technologies ADR,TW,chip_designer,SK Hynix,KR,fab_operator,Analog and Mixed Signal Semiconductors partnership,other,2,,-0.086965,false,sec-edgar-rederived
Sondrel (Holdings) Plc,GB,chip_designer,ARM,GB,chip_designer,Programmable Logic and ASIC Semiconductors partnership,gpu_accelerator,3,,,false,company-disclosure-rederived
ASML,NL,equipment_maker,TSMC,TW,fab_operator,EUV lithography systems,semiconductor_equipment,10,100,,true,scrutica-chip-deployment-chains
TSMC,TW,fab_operator,NVIDIA,US,chip_designer,Foundry services — GH100 die at N5 (5nm) process node (H200 reuses H100 compute die with upgraded HBM3e),foundry_services,10,100,,true,scrutica-chip-deployment-chains
ASML,NL,equipment_maker,TSMC,TW,fab_operator,EUV lithography systems for N5,semiconductor_equipment,10,100,,true,scrutica-chip-deployment-chains
Astera Labs,US,chip_designer,ASE Technology Holding,TW,fab_operator,General Semiconductors partnership,other,2,,-0.702109,false,sec-edgar-rederived
Astera Labs,US,chip_designer,TSMC,TW,fab_operator,General Semiconductors partnership,other,2,,-0.5365215,false,sec-edgar-rederived
Hakkoda,US,other,Snowflake,,other,Data Processing Services,other,,,,false,company-disclosure-rederived
Sony Group,JP,other,Apple,US,other,General Computer Hardware supply,other,3,,0.24067,false,company-disclosure-rederived
Sap,IN,colocation_provider,Toyota Motor,JP,other,Consumer Vehicle Manufacturing,other,,,,false,company-disclosure-rederived
GlobalFoundries,US,equipment_maker,Enflame Technology (Suiyuan),CN,chip_designer,Foundry services — Enflame CloudBlazer DTU at GlobalFoundries 12LP FinFET,foundry_services,9,,,true,ds-globalfoundries-press
Atomera,US,other,STMicroelectronics,CH,chip_designer,Other Specialty/Performance Chemical Manufacturing supply,raw_materials,3,,0.765479,false,sec-edgar-rederived
DotDigital Group,GB,other,Snowflake,,other,Enterprise Management Software,other,,,,false,company-disclosure-rederived
"Ajinomoto Co., Inc.",JP,equipment_maker,Ibiden,JP,equipment_maker,Ajinomoto Build-up Film (ABF) substrate material for FC-BGA packages,substrates,10,,,true,research-sprint-2026-04
"Ajinomoto Co., Inc.",JP,equipment_maker,Shinko Electric,,other,Ajinomoto Build-up Film (ABF) substrate material for FC-BGA packages,substrates,10,,,true,research-sprint-2026-04
SK Hynix,KR,fab_operator,Huawei Technologies,CN,other,HBM memory supply for Huawei Ascend AI accelerator production,memory,9,,,false,research-sprint-2026-04
Sichuan University,CN,other,Sichuan University,,other,BIS Entity List match: Case-by-case basis,other,,,,false,scrutica-bis-crossref
University of Electronic Science and Technology of China,CN,other,University Of Electronic Science And Technology Of China,,other,BIS Entity List match: Case-by-case basis,other,,,,false,scrutica-bis-crossref
"Huawei Technologies Canada Co., Ltd.",CA,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Beijing Huawei Digital Technologies Co., Ltd.",CN,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"NuFlare Technology, Inc.",JP,chip_designer,Samsung,KR,equipment_maker,Semiconductor Manufacturing Capital Equipment supply,semiconductor_equipment,3,,,false,company-disclosure-rederived
Sap,IN,colocation_provider,Snowflake,,other,Enterprise Management Software,other,,,,false,company-disclosure-rederived
BlackLine,US,other,Sap,IN,colocation_provider,Enterprise Management Software,other,,,,false,company-disclosure-rederived
"Huawei Machine Co., Ltd.",CN,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Huawei Technologies Co., Ltd. (Huawei)",CN,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"North Huawei Communication Technology Co., Ltd.,",CN,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Xi'an Huawei Technologies Co., Ltd., Xi'an, Shaanxi",CN,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei Technology,EG,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Huawei International Co., Limited",HK,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Huawei Tech. Investment Co., Limited",HK,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei Technologies Japan K.K.,JP,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei Technologies Investment Co. Ltd.,JO,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei Tech Investment Limited,QA,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei International Pte. Ltd.,SG,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Beamr Imaging,IL,epc,Alphabet,US,equipment_maker,Design and Engineering Software supply,software_ip,3,,0.819757,false,sec-edgar-rederived
"Huawei Tech Investment Co., Ltd.",AR,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Bel Huawei Technologies LLC,BY,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Shanghai HiSilicon Technologies Co., Ltd.",CN,other,HiSilicon,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Appen,AU,other,NVIDIA,US,chip_designer,Information Technology Consulting,other,,,,false,company-disclosure-rederived
"Shenzhen HiSilicon Technologies Co., Electrical Research Center",CN,other,HiSilicon,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei Technologies India Private Limited,IN,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Huawei Tech Investment, PT",ID,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Huawei Russia,RU,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Huawei Technologies (UK) Co., Ltd.",GB,other,Huawei Technologies,CN,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Dahua Technology,CN,other,Dahua Technology,,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Hangzhou Hikvision Digital Technology Co., Ltd.",CN,other,"Hangzhou Hikvision Digital Technology Co., Ltd.",,other,"BIS Entity List match: Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR.",other,,,,false,scrutica-bis-crossref
Megvii Technology,CN,other,Megvii Inc,,ai_lab,"BIS Entity List match: Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR.",other,,,,false,scrutica-bis-crossref
"MongoDB, Inc.",US,other,INTERNATIONAL BUSINESS MACHINES CORPORATION,US,other,IT Infrastructure Software,other,,,,false,sec-edgar-rederived
Intellifusion,CN,other,Intellifusion,CN,equipment_maker,"BIS Entity List match: Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR.",other,,,,false,scrutica-bis-crossref
Bloom Energy A,US,power_provider,Intel,US,fab_operator,Power Generation and Support Products supply,power_delivery,3,,0.728879,false,company-disclosure-rederived
Beijing University of Posts and Telecommunications (BUPT),CN,other,Beijing University of Posts and Telecommunications,,ai_lab,BIS Entity List match: Presumption of denial.,other,,,,false,scrutica-bis-crossref
"Brightcove, Inc.",US,epc,Oracle Corporation,US,cloud_provider,Design and Engineering Software partnership,software_ip,2,,,false,sec-edgar-rederived
"4Paradigm Technology Co., Ltd",CN,other,4paradigm,,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Inspur Group Co., Ltd.",CN,other,Inspur,HK,ai_lab,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Loongson Technology,CN,other,Loongson,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Beijing Biren Technology Development Co., Ltd.",CN,other,Biren Technology,CN,chip_designer,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Hangzhou Biren Technology Development Co., Ltd.",CN,other,Biren Technology,CN,chip_designer,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Broadcom Inc.,US,chip_designer,Celestica,CA,other,Analog and Mixed Signal Semiconductors partnership,other,3,,0.486881,false,company-disclosure-rederived
DHC Software,CN,other,Tencent Holdings Ltd.,CN,ai_lab,Infrastructure and Network Consulting Services,other,,,,false,company-disclosure-rederived
"Moore Thread Intelligent Technology (Beijing) Co., Ltd.",CN,other,Moore Threads,CN,chip_designer,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
MasterCard,US,other,PT Indosat Tbk,ID,ai_lab,Consumer Finance Services,other,,,,false,company-disclosure-rederived
STMicroelectronics,CH,chip_designer,"Amazon.com, Inc.",US,cloud_provider,Analog and Mixed Signal Semiconductors partnership,other,2,,-0.834201,false,sec-edgar-rederived
MasterCard,US,other,Tencent Holdings Ltd.,CN,ai_lab,Consumer Finance Services,other,,,,false,company-disclosure-rederived
Cloudinary,,other,Sap,IN,colocation_provider,Packaged Software,other,,,,false,company-disclosure-rederived
INNODATA INC,,other,Snowflake,,other,Information Technology Consulting,other,,,,false,company-disclosure-rederived
"H2O.ai, Inc.",US,other,Snowflake,,other,Internet Software/Services,other,,,,false,company-disclosure-rederived
"NOVETTA SOLUTIONS, LLC",US,cloud_provider,Palantir Technologies Inc.,US,ai_lab,Information Technology Consulting,other,,,,false,company-disclosure-rederived
ServiceNow,US,other,Sap,IN,colocation_provider,Enterprise Management Software,other,,,,false,company-disclosure-rederived
"Moore Thread Intelligent Technology (Beijing) Co., Ltd.",CN,other,Moore Threads Tencent,,other,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Shanghai Biren Information Technology Co., Ltd.",CN,other,Biren Technology,CN,chip_designer,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Shanghai Biren Intelligent Technology Co., Ltd.",CN,other,Biren Technology,CN,chip_designer,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Nanjing Guosheng Electronics,CN,other,GuoSheng,CN,equipment_maker,BIS Entity List match: Presumption of denial.,other,,,,false,scrutica-bis-crossref
GLOBANT SA,,other,Sap,IN,colocation_provider,Infrastructure and Network Consulting Services,other,,,,false,company-disclosure-rederived
Snowflake,,other,ABB,CH,power_provider,Commercial and Industrial Electric Products,power_delivery,,,,false,company-disclosure-rederived
"MongoDB, Inc.",US,other,HCL Technologies Limited,,other,Information Technology Consulting,other,,,,false,sec-edgar-rederived
Ondas,US,other,Palantir Technologies Inc.,US,ai_lab,Aerospace Equipment,other,,,,false,company-disclosure-rederived
Snowflake,,other,Palantir Technologies Inc.,US,ai_lab,Enterprise Management Software,other,,,,false,company-disclosure-rederived
Reka Grup Danismanlik ve Tic Ltd Sti,MY,other,Reka,,other,BIS Entity List match: Policy of denial for all items subject to the EAR. See § 746.8(b).,other,,,,false,scrutica-bis-crossref
"AccoTest Technology Co., Ltd. (Hong Kong)",CN,other,AccoTEST,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Beijing Huada Jiutian Technology Co., Ltd.",CN,other,Huada Empyrean,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Beijing Huafeng Test & Control Technology Co., Ltd.",CN,other,AccoTEST,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Beijing Kaishitong Semiconductor Co., Ltd.",CN,other,Kingstone Semiconductor,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Beijing Naura Microelectronics Equipment Co., Ltd.",CN,other,NAURA,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Dongfang Jingyuan Electron Co., Ltd.",CN,other,Dongfang Jingyuan Electron Ltd.,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Kingstone Technology Hong Kong Limited,CN,other,Kingstone Semiconductor,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Naura Technology Group Co., Ltd.",CN,other,NAURA,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Piotech,CN,other,Piotech,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Maxis,MY,other,NVIDIA,US,chip_designer,Pan-Asia/Pacific Mixed Telecommunications Services,other,,,,false,company-disclosure-rederived
Twilio A,US,epc,Snowflake,,other,Design and Engineering Software,software_ip,,,,false,company-disclosure-rederived
"Cloudflare, Inc.",US,other,Discord,US,other,Internet Software/Services,other,,,,false,company-disclosure-rederived
"Cloudflare, Inc.",US,other,Block,US,other,Consumer Finance Services,other,,,,false,company-disclosure-rederived
BXP,US,colocation_provider,Alphabet,US,equipment_maker,Equity REITs supply,other,3,,0.709567,false,sec-edgar-rederived
Satellogic A,US,epc,Palantir Technologies Inc.,US,ai_lab,Design and Engineering Software,software_ip,,,,false,company-disclosure-rederived
C3.ai A,US,epc,"Amazon.com, Inc.",US,cloud_provider,Design and Engineering Software partnership,software_ip,2,,0.783463,false,company-disclosure-rederived
"Piotech (Beijing) Co., Ltd.",CN,other,Piotech,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Piotech (Shanghai) Co., Ltd.",CN,other,Piotech,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Canaan ADR A,SG,other,Cipher Digital,US,colocation_provider,Computer Systems supply,other,8,,0.744507,false,sec-edgar-rederived
"Shanghai Kaishitong Semiconductor Co., Ltd.",CN,other,Kingstone Semiconductor,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Shanghai Naura Microelectronics Equipment Co., Ltd.",CN,other,NAURA,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Shanghai Xinsheng Semiconductor Technology Co., Ltd.",CN,other,ZingSEMI,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Shenyang Xinyuan Microelectronic Equipment Co., Ltd.",CN,other,Kingsemi,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Wuhan Naura Microelectronics Equipment Co., Ltd.",CN,other,NAURA,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
"Xi’an Naura Microelectronics Equipment Co., Ltd.",CN,other,NAURA,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
Kingsemi Japan K.K.,JP,other,Kingsemi,CN,equipment_maker,BIS Entity List match: Presumption of denial,other,,,,false,scrutica-bis-crossref
INTERNATIONAL BUSINESS MACHINES CORPORATION,US,other,"Cloudflare, Inc.",US,other,Information Technology Consulting,other,,,,false,company-disclosure-rederived
Siemens,ZA,colocation_provider,Snowflake,,other,Other Machinery Manufacturing,other,,,,false,company-disclosure-rederived
Treasure Data,US,other,Snowflake,,other,Packaged Software,other,,,,false,company-disclosure-rederived
DXC Technology,US,other,Snowflake,,other,Information Technology Consulting,other,,,,false,company-disclosure-rederived
Micron,US,fab_operator,ELKO Grupa AS,LV,other,Electronics Distributors procurement,other,3,,,false,company-disclosure-rederived
MasterCard,US,other,"Cloudflare, Inc.",US,other,Consumer Finance Services,other,,,,false,company-disclosure-rederived
